venue,innings,batting_team,bowling_team,batsmen,bowler,total_runs
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,"RG Sharma, Ishan Kishan, E Lewis","B Stanlake, Sandeep Sharma, S Kaul, Rashid Khan",54
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,"WP Saha, S Dhawan","KH Pandya, BCJ Cutting, PJ Sangwan, JJ Bumrah",56
M.Chinnaswamy Stadium,1,Punjab Kings,Royal Challengers Bangalore,"AJ Finch, Yuvraj Singh, KL Rahul, KK Nair, MA Agarwal","UT Yadav, CR Woakes, K Khejroliya",50
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Punjab Kings,"Q de Kock, AB de Villiers, BB McCullum, V Kohli","R Ashwin, AR Patel, Mujeeb Ur Rahman, AJ Tye",41
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Delhi Capitals,"E Lewis, SA Yadav","TA Boult, Mohammed Shami, DT Christian, S Nadeem",84
"Wankhede Stadium, Mumbai",2,Delhi Capitals,Mumbai Indians,"RR Pant, G Gambhir, JJ Roy","HH Pandya, JJ Bumrah, Mustafizur Rahman, A Dananjaya",53
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"N Rana, CA Lynn, RV Uthappa","B Stanlake, Rashid Khan, S Kaul, B Kumar",49
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"KS Williamson, WP Saha, S Dhawan, MK Pandey","AD Russell, PP Chawla, SP Narine, MG Johnson",46
M.Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"SV Samson, DJM Short, AM Rahane","YS Chahal, Washington Sundar, CR Woakes, UT Yadav",52
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"BB McCullum, Q de Kock, V Kohli","DS Kulkarni, K Gowtham, JD Unadkat, BA Stokes",64
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Chennai Super Kings,"KL Rahul, CH Gayle","Harbhajan Singh, SN Thakur, DL Chahar",75
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Punjab Kings,"AT Rayudu, SR Watson, M Vijay, SW Billings","BB Sran, MM Sharma, Mujeeb Ur Rahman, AJ Tye",53
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,"CA Lynn, SP Narine, RV Uthappa","TA Boult, CH Morris, S Nadeem",50
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,"RR Pant, GJ Maxwell, G Gambhir, JJ Roy, SS Iyer","AD Russell, Shivam Mavi, PP Chawla, SP Narine",56
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Royal Challengers Bangalore,"Ishan Kishan, RG Sharma, SA Yadav, E Lewis","Mohammed Siraj, UT Yadav, Washington Sundar, CR Woakes",60
"Wankhede Stadium, Mumbai",2,Royal Challengers Bangalore,Mumbai Indians,"Q de Kock, AB de Villiers, Mandeep Singh, V Kohli","KH Pandya, MJ McClenaghan, JJ Bumrah, Mustafizur Rahman",55
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"DJM Short, AM Rahane","Shivam Mavi, PP Chawla, SP Narine, Kuldeep Yadav",48
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"CA Lynn, SP Narine, RV Uthappa","DS Kulkarni, K Gowtham, JD Unadkat, B Laughlin",53
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Sunrisers Hyderabad,"KL Rahul, CH Gayle","CJ Jordan, Rashid Khan, S Kaul, B Kumar",49
"Punjab Cricket Association Stadium, Mohali",2,Sunrisers Hyderabad,Punjab Kings,"S Dhawan, MK Pandey, KS Williamson, WP Saha, YK Pathan","BB Sran, MM Sharma, AJ Tye",40
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Rajasthan Royals,"SR Watson, AT Rayudu, SK Raina","BA Stokes, STR Binny, K Gowtham, B Laughlin, JD Unadkat",69
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Chennai Super Kings,"JC Buttler, H Klaasen, BA Stokes, SV Samson, AM Rahane","SR Watson, SN Thakur, DL Chahar",35
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,"CA Lynn, SP Narine, RV Uthappa","BB Sran, AS Rajpoot, Mujeeb Ur Rahman, AJ Tye",50
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,"KL Rahul, CH Gayle","N Rana, AD Russell, Shivam Mavi, PP Chawla, SP Narine",73
M.Chinnaswamy Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"RR Pant, G Gambhir, JJ Roy, SS Iyer","YS Chahal, UT Yadav, CR Woakes",28
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"Q de Kock, AB de Villiers, M Vohra, V Kohli","GJ Maxwell, TA Boult, CH Morris, S Nadeem",43
"Rajiv Gandhi International Stadium, Uppal",1,Chennai Super Kings,Sunrisers Hyderabad,"SK Raina, SR Watson, F du Plessis","B Stanlake, S Kaul, Shakib Al Hasan, B Kumar",27
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Chennai Super Kings,"MK Pandey, KS Williamson, RK Bhui, Shakib Al Hasan, DJ Hooda","SR Watson, SN Thakur, DL Chahar",40
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"E Lewis, SA Yadav, Ishan Kishan","DS Kulkarni, K Gowtham, JD Unadkat, JC Archer",43
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"SV Samson, RA Tripathi, BA Stokes, AM Rahane","KH Pandya, MJ McClenaghan, JJ Bumrah, Mustafizur Rahman",43
Arun Jaitley Stadium,1,Punjab Kings,Delhi Capitals,"KK Nair, KL Rahul, MA Agarwal, AJ Finch","Avesh Khan, TA Boult, LE Plunkett",51
Arun Jaitley Stadium,2,Delhi Capitals,Punjab Kings,"RR Pant, PP Shaw, GJ Maxwell, G Gambhir, SS Iyer","BB Sran, AS Rajpoot, AJ Tye",48
"Wankhede Stadium, Mumbai",1,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan, MK Pandey, KS Williamson, WP Saha, Shakib Al Hasan, YK Pathan","HH Pandya, MJ McClenaghan, JJ Bumrah",51
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Sunrisers Hyderabad,"KH Pandya, E Lewis, Ishan Kishan, SA Yadav, RG Sharma","Shakib Al Hasan, Sandeep Sharma, Mohammad Nabi",22
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"Q de Kock, AB de Villiers, V Kohli","Harbhajan Singh, SN Thakur, DL Chahar",52
M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"SR Watson, AT Rayudu, SW Billings, SK Raina","P Negi, UT Yadav, Washington Sundar, Mohammed Siraj",55
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Punjab Kings,"S Dhawan, MK Pandey, KS Williamson, WP Saha, Shakib Al Hasan","BB Sran, AS Rajpoot",37
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Sunrisers Hyderabad,"KL Rahul, CH Gayle","Sandeep Sharma, Mohammad Nabi, S Kaul",44
Arun Jaitley Stadium,1,Delhi Capitals,Kolkata Knight Riders,"PP Shaw, C Munro","MG Johnson, Kuldeep Yadav, Shivam Mavi, PP Chawla, SP Narine",57
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Capitals,"N Rana, KD Karthik, Shubman Gill, SP Narine, CA Lynn, RV Uthappa","Avesh Khan, GJ Maxwell, TA Boult, LE Plunkett",51
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Mumbai Indians,"SR Watson, AT Rayudu, SK Raina","HH Pandya, KH Pandya, MJ McClenaghan, JJ Bumrah",51
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Chennai Super Kings,"E Lewis, SA Yadav","Harbhajan Singh, SR Watson, SN Thakur, DL Chahar",50
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"AD Hales, KS Williamson, S Dhawan","DS Kulkarni, K Gowtham, JD Unadkat, JC Archer",39
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"SV Samson, RA Tripathi, AM Rahane","Basil Thampi, Sandeep Sharma, Shakib Al Hasan, S Kaul",43
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"Q de Kock, BB McCullum","Shivam Mavi, PP Chawla, SP Narine, MG Johnson",40
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"CA Lynn, SP Narine","YS Chahal, UT Yadav, TG Southee",51
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Delhi Capitals,"SR Watson, F du Plessis","Avesh Khan, TA Boult, R Tewatia, LE Plunkett",56
Maharashtra Cricket Association Stadium,2,Delhi Capitals,Chennai Super Kings,"RR Pant, PP Shaw, C Munro, SS Iyer","L Ngidi, SR Watson, KM Asif",59
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"M Vohra, Q de Kock","KH Pandya, MJ McClenaghan, JP Duminy, JJ Bumrah",43
M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"JP Duminy, KA Pollard, Ishan Kishan, SA Yadav, RG Sharma","UT Yadav, TG Southee, Mohammed Siraj",40
Arun Jaitley Stadium,1,Delhi Capitals,Rajasthan Royals,"PP Shaw, C Munro, SS Iyer","DS Kulkarni, JC Archer, K Gowtham, S Gopal, JD Unadkat",62
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Capitals,"DJM Short, JC Buttler","A Mishra, Avesh Khan, LE Plunkett, S Nadeem, TA Boult",79
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"SK Raina, SR Watson, F du Plessis","Shivam Mavi, PP Chawla, SP Narine, MG Johnson",57
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"Shubman Gill, CA Lynn, SP Narine, RV Uthappa","L Ngidi, SR Watson, KM Asif",56
Holkar Cricket Stadium,1,Punjab Kings,Mumbai Indians,"KL Rahul, CH Gayle","HH Pandya, MJ McClenaghan, JJ Bumrah",49
Holkar Cricket Stadium,2,Mumbai Indians,Punjab Kings,"E Lewis, SA Yadav, Ishan Kishan","AS Rajpoot, R Ashwin, Mujeeb Ur Rahman, AJ Tye",39
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"BB McCullum, PA Patel, V Kohli","L Ngidi, DJ Willey, SN Thakur",47
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"SR Watson, AT Rayudu, SK Raina","YS Chahal, UT Yadav, TG Southee",42
"Rajiv Gandhi International Stadium, Uppal",1,Delhi Capitals,Sunrisers Hyderabad,"GJ Maxwell, PP Shaw, SS Iyer","Sandeep Sharma, S Kaul, Shakib Al Hasan, B Kumar",60
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Delhi Capitals,"AD Hales, S Dhawan","Avesh Khan, GJ Maxwell, TA Boult, LE Plunkett",61
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Kolkata Knight Riders,"E Lewis, SA Yadav","N Rana, MG Johnson, PP Chawla, SP Narine, M Prasidh Krishna",56
"Wankhede Stadium, Mumbai",2,Kolkata Knight Riders,Mumbai Indians,"Shubman Gill, N Rana, CA Lynn, RV Uthappa","HH Pandya, MJ McClenaghan, JJ Bumrah",47
Holkar Cricket Stadium,1,Rajasthan Royals,Punjab Kings,"SV Samson, DJM Short, JC Buttler, AM Rahane","AR Patel, AS Rajpoot, R Ashwin, Mujeeb Ur Rahman",45
Holkar Cricket Stadium,2,Punjab Kings,Rajasthan Royals,"KK Nair, KL Rahul, CH Gayle, MA Agarwal","K Gowtham, BA Stokes, JD Unadkat, JC Archer",34
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"AD Hales, KS Williamson, S Dhawan","MM Ali, TG Southee, Mohammed Siraj, UT Yadav",38
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Vohra, PA Patel, V Kohli","Sandeep Sharma, S Kaul, Shakib Al Hasan, B Kumar",55
Sawai Mansingh Stadium,1,Rajasthan Royals,Punjab Kings,"K Gowtham, JC Buttler, AM Rahane","AR Patel, MP Stoinis, MM Sharma, AJ Tye",63
Sawai Mansingh Stadium,2,Punjab Kings,Rajasthan Royals,"CH Gayle, KL Rahul, KK Nair, R Ashwin, AD Nath","K Gowtham, JD Unadkat, JC Archer, BA Stokes",33
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"E Lewis, RG Sharma, SA Yadav","TK Curran, AD Russell, PP Chawla, SP Narine, M Prasidh Krishna",47
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"N Rana, CA Lynn, SP Narine, RV Uthappa","HH Pandya, KH Pandya, MJ McClenaghan, JJ Bumrah",47
Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,"RR Pant, PP Shaw, JJ Roy, SS Iyer","Sandeep Sharma, S Kaul, Shakib Al Hasan, B Kumar",38
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,"AD Hales, KS Williamson, S Dhawan","TA Boult, S Nadeem, LE Plunkett, HV Patel",51
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"SR Watson, AT Rayudu, SK Raina","BA Stokes, Ankit Sharma, K Gowtham, JC Archer, JD Unadkat",55
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"SV Samson, BA Stokes, JC Buttler, AM Rahane","Harbhajan Singh, DJ Willey, RA Jadeja, SN Thakur",57
Holkar Cricket Stadium,1,Kolkata Knight Riders,Punjab Kings,"CA Lynn, SP Narine, RV Uthappa","BB Sran, Mujeeb Ur Rahman, AJ Tye, R Ashwin, MM Sharma",59
Holkar Cricket Stadium,2,Punjab Kings,Kolkata Knight Riders,"KL Rahul, CH Gayle, MA Agarwal","AD Russell, SP Narine, JPR Scantlebury-Searles, M Prasidh Krishna",58
Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"RR Pant, PP Shaw, JJ Roy, SS Iyer","YS Chahal, UT Yadav, TG Southee",44
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"PA Patel, AB de Villiers, MM Ali, V Kohli","S Lamichhane, HV Patel, TA Boult, CJ Dala",58
Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"AD Hales, KS Williamson, S Dhawan","DJ Willey, SN Thakur, DL Chahar",29
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson, AT Rayudu","Rashid Khan, Sandeep Sharma, Shakib Al Hasan, B Kumar",53
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Rajasthan Royals,"E Lewis, SA Yadav","DS Kulkarni, K Gowtham, BA Stokes, JC Archer",51
"Wankhede Stadium, Mumbai",2,Rajasthan Royals,Mumbai Indians,"DJM Short, JC Buttler, AM Rahane","HH Pandya, KH Pandya, MJ McClenaghan, JJ Bumrah",51
Holkar Cricket Stadium,1,Punjab Kings,Royal Challengers Bangalore,"CH Gayle, AJ Finch, KL Rahul, MP Stoinis, KK Nair","UT Yadav, TG Southee, Mohammed Siraj",47
Holkar Cricket Stadium,2,Royal Challengers Bangalore,Punjab Kings,"PA Patel, V Kohli","AS Rajpoot, R Ashwin, MM Sharma, AJ Tye",66
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"RA Tripathi, JC Buttler, AM Rahane","Shivam Mavi, AD Russell, SP Narine, M Prasidh Krishna",68
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"N Rana, CA Lynn, SP Narine, RV Uthappa","K Gowtham, BA Stokes, JC Archer",51
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Punjab Kings,"KH Pandya, E Lewis, Ishan Kishan, SA Yadav, RG Sharma","AS Rajpoot, MM Sharma, AJ Tye",60
"Wankhede Stadium, Mumbai",2,Punjab Kings,Mumbai Indians,"KL Rahul, CH Gayle, AJ Finch","HH Pandya, KH Pandya, MJ McClenaghan, JJ Bumrah",57
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"PA Patel, AB de Villiers, MM Ali, V Kohli","Sandeep Sharma, S Kaul, Shakib Al Hasan, Rashid Khan",44
M.Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"AD Hales, KS Williamson, S Dhawan","YS Chahal, UT Yadav, TG Southee, Mohammed Siraj",56
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,"RR Pant, PP Shaw, SS Iyer","L Ngidi, SN Thakur, RA Jadeja, DL Chahar",39
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,"SR Watson, AT Rayudu","S Lamichhane, HV Patel, TA Boult, Avesh Khan",44
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"JC Archer, RA Tripathi, AM Rahane","MM Ali, YS Chahal, UT Yadav, TG Southee",45
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"PA Patel, AB de Villiers, V Kohli","K Gowtham, JD Unadkat, B Laughlin, JC Archer",55
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,"S Dhawan, SP Goswami","N Rana, AD Russell, PP Chawla, SP Narine, M Prasidh Krishna",60
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,"CA Lynn, SP Narine, RV Uthappa","Shakib Al Hasan, Sandeep Sharma, S Kaul, B Kumar",66
Arun Jaitley Stadium,1,Delhi Capitals,Mumbai Indians,"GJ Maxwell, RR Pant, PP Shaw, SS Iyer","HH Pandya, KH Pandya, JJ Bumrah, Mustafizur Rahman",46
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Capitals,"E Lewis, SA Yadav, Ishan Kishan","S Lamichhane, GJ Maxwell, LE Plunkett, TA Boult, HV Patel",57
Maharashtra Cricket Association Stadium,1,Punjab Kings,Chennai Super Kings,"DA Miller, CH Gayle, AJ Finch, KL Rahul, MK Tiwary","L Ngidi, DL Chahar",29
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Punjab Kings,"SK Raina, AT Rayudu, Harbhajan Singh, SW Billings, F du Plessis","AS Rajpoot, MM Sharma, AJ Tye",33
"Wankhede Stadium, Mumbai",1,Sunrisers Hyderabad,Chennai Super Kings,"S Dhawan, SP Goswami, MK Pandey, KS Williamson, Shakib Al Hasan","L Ngidi, SN Thakur, DL Chahar",47
"Wankhede Stadium, Mumbai",2,Chennai Super Kings,Sunrisers Hyderabad,"SK Raina, AT Rayudu, F du Plessis, SR Watson, MS Dhoni","Sandeep Sharma, S Kaul, B Kumar",33
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"N Rana, KD Karthik, SP Narine, CA Lynn, RV Uthappa","K Gowtham, JD Unadkat, JC Archer",46
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,"SV Samson, RA Tripathi, AM Rahane","AD Russell, PP Chawla, SP Narine, M Prasidh Krishna",51
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,"WP Saha, S Dhawan","Shivam Mavi, AD Russell, SP Narine, M Prasidh Krishna",45
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"N Rana, CA Lynn, SP Narine","KK Ahmed, S Kaul, B Kumar",67
"Wankhede Stadium, Mumbai",1,Sunrisers Hyderabad,Chennai Super Kings,"KS Williamson, S Dhawan, SP Goswami","L Ngidi, SN Thakur, DL Chahar",42
"Wankhede Stadium, Mumbai",2,Chennai Super Kings,Sunrisers Hyderabad,"SK Raina, SR Watson, F du Plessis","Sandeep Sharma, B Kumar",35
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"PA Patel, AB de Villiers, MM Ali, V Kohli","Harbhajan Singh, DL Chahar",33
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"SR Watson, AT Rayudu, SK Raina","YS Chahal, MM Ali, NA Saini",16
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,"JM Bairstow, DA Warner","LH Ferguson, PP Chawla, SP Narine, M Prasidh Krishna",54
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"N Rana, CA Lynn, RV Uthappa","Sandeep Sharma, S Kaul, Shakib Al Hasan, B Kumar",47
"Wankhede Stadium, Mumbai",1,Delhi Capitals,Mumbai Indians,"PP Shaw, CA Ingram, S Dhawan, SS Iyer","HH Pandya, MJ McClenaghan, JJ Bumrah, Rasikh Salam",45
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Delhi Capitals,"Q de Kock, RG Sharma, KA Pollard, SA Yadav","K Rabada, TA Boult, I Sharma",46
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,"KL Rahul, CH Gayle, MA Agarwal","DS Kulkarni, K Gowtham, BA Stokes, JC Archer",32
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,"JC Buttler, AM Rahane","Mohammed Shami, SM Curran, Mujeeb Ur Rahman",64
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,"PP Shaw, S Dhawan, SS Iyer","Harbhajan Singh, SN Thakur, DL Chahar",43
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,"SR Watson, AT Rayudu, SK Raina","K Rabada, AR Patel, I Sharma",58
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,"N Rana, CA Lynn, SP Narine, RV Uthappa","Mohammed Shami, AJ Tye, GC Viljoen, CV Varun, R Ashwin",53
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,"KL Rahul, CH Gayle, MA Agarwal, SN Khan","LH Ferguson, AD Russell, M Prasidh Krishna",51
M.Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"Q de Kock, RG Sharma","Mohammed Siraj, UT Yadav, NA Saini",52
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"PA Patel, MM Ali, V Kohli","KH Pandya, MJ McClenaghan, SL Malinga, HH Pandya, JJ Bumrah",60
"Rajiv Gandhi International Stadium, Uppal",1,Rajasthan Royals,Sunrisers Hyderabad,"SV Samson, JC Buttler, AM Rahane","Rashid Khan, Sandeep Sharma, S Kaul, B Kumar",35
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Rajasthan Royals,"JM Bairstow, DA Warner","DS Kulkarni, K Gowtham, BA Stokes, JC Archer",69
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Punjab Kings,"Q de Kock, RG Sharma, SA Yadav","R Ashwin, Mohammed Shami, GC Viljoen, AJ Tye",62
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Mumbai Indians,"KL Rahul, CH Gayle","MJ McClenaghan, JJ Bumrah, SL Malinga",38
Arun Jaitley Stadium,1,Kolkata Knight Riders,Delhi Capitals,"CA Lynn, NS Naik, RV Uthappa","S Lamichhane, K Rabada, CH Morris, HV Patel",36
Arun Jaitley Stadium,2,Delhi Capitals,Kolkata Knight Riders,"PP Shaw, S Dhawan, SS Iyer","LH Ferguson, AD Russell, PP Chawla, M Prasidh Krishna",45
Arun Jaitley Stadium,3,Delhi Capitals,Kolkata Knight Riders,"RR Pant, SS Iyer",M Prasidh Krishna,10
Arun Jaitley Stadium,4,Kolkata Knight Riders,Delhi Capitals,"KD Karthik, AD Russell, RV Uthappa",K Rabada,7
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"JM Bairstow, DA Warner","YS Chahal, MM Ali, Mohammed Siraj, UT Yadav",59
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"PA Patel, MM Ali, SO Hetmyer, AB de Villiers, V Kohli","Sandeep Sharma, Mohammad Nabi, B Kumar",30
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,"KM Jadhav, SK Raina, AT Rayudu, SR Watson, MS Dhoni","DS Kulkarni, JC Archer, BA Stokes",29
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,"JC Buttler, SV Samson, AM Rahane, RA Tripathi, SPD Smith","MJ Santner, SN Thakur, DL Chahar",45
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Delhi Capitals,"KL Rahul, SM Curran, MA Agarwal, SN Khan","Avesh Khan, K Rabada, S Lamichhane, CH Morris",54
"Punjab Cricket Association Stadium, Mohali",2,Delhi Capitals,Punjab Kings,"PP Shaw, S Dhawan, SS Iyer","R Ashwin, SM Curran, GC Viljoen, Mohammed Shami",49
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"PA Patel, V Kohli","DS Kulkarni, K Gowtham, JC Archer",48
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"JC Buttler, AM Rahane","Mohammed Siraj, UT Yadav, NA Saini",55
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Chennai Super Kings,"Q de Kock, RG Sharma, SA Yadav","MM Sharma, SN Thakur, DL Chahar",40
"Wankhede Stadium, Mumbai",2,Chennai Super Kings,Mumbai Indians,"KM Jadhav, SK Raina, AT Rayudu, SR Watson, MS Dhoni","HH Pandya, JP Behrendorff, SL Malinga",34
Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,"PP Shaw, S Dhawan, SS Iyer","S Kaul, Mohammad Nabi, B Kumar",36
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,"JM Bairstow, DA Warner","S Lamichhane, K Rabada, AR Patel, CH Morris",62
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"PA Patel, V Kohli","LH Ferguson, PP Chawla, SP Narine, M Prasidh Krishna",53
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"CA Lynn, SP Narine, RV Uthappa","YS Chahal, TG Southee, NA Saini",59
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,"SR Watson, F du Plessis","AJ Tye, R Ashwin, Mohammed Shami, SM Curran",54
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,"KL Rahul, CH Gayle, MA Agarwal, SN Khan","Harbhajan Singh, SC Kuggeleijn, DL Chahar",46
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,"Q de Kock, RG Sharma, SA Yadav, Ishan Kishan","Sandeep Sharma, Mohammad Nabi, B Kumar",30
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,"JM Bairstow, V Shankar, MK Pandey, DA Warner","AS Joseph, JP Behrendorff, JJ Bumrah, RD Chahar",39
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"PA Patel, AB de Villiers, V Kohli","K Rabada, CH Morris, I Sharma",40
M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"PP Shaw, S Dhawan, SS Iyer","YS Chahal, TG Southee, NA Saini",53
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"JC Buttler, SPD Smith, AM Rahane","PP Chawla, SP Narine, M Prasidh Krishna",28
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"CA Lynn, SP Narine","DS Kulkarni, K Gowtham, JC Archer",65
